"domain" "x1_aug" "x2_aug"
"1" 1 1 1
"2" 1 1 1
"3" 1 1 1
"4" 1 1 1
"5" 1 1 1
"6" 1 1 0
"7" 1 1 0
"8" 1 1 0
"9" 1 1 0
"10" 1 1 0
"11" 1 0 1
"12" 1 0 1
"13" 1 0 1
"14" 1 0 1
"15" 1 0 1
"16" 1 1 0
"17" 1 1 0
"18" 1 1 0
"19" 1 1 0
"20" 1 1 0
"21" 1 0 1
"22" 1 0 1
"23" 1 0 1
"24" 1 0 1
"25" 1 0 1
"26" 1 0 0
"27" 1 0 0
"28" 1 0 0
"29" 1 0 0
"30" 1 0 0
"31" 1 0 0
"32" 1 0 0
"33" 1 0 0
"34" 1 0 0
"35" 1 0 0
"36" 1 1 0
"37" 1 1 0
"38" 1 1 0
"39" 1 1 0
"40" 1 1 0
"41" 1 0 0
"42" 1 0 0
"43" 1 0 0
"44" 1 0 0
"45" 1 0 0
"46" 1 0 1
"47" 1 0 1
"48" 1 0 1
"49" 1 0 1
"50" 1 0 1
"51" 1 0 0
"52" 1 0 0
"53" 1 0 0
"54" 1 0 0
"55" 1 0 0
"56" 1 0 1
"57" 1 0 1
"58" 1 0 1
"59" 1 0 1
"60" 1 0 1
"61" 1 0 0
"62" 1 0 0
"63" 1 0 0
"64" 1 0 0
"65" 1 0 0
"66" 1 0 0
"67" 1 0 0
"68" 1 0 0
"69" 1 0 0
"70" 1 0 0
"71" 1 0 1
"72" 1 0 1
"73" 1 0 1
"74" 1 0 1
"75" 1 0 1
"76" 1 0 0
"77" 1 0 0
"78" 1 0 0
"79" 1 0 0
"80" 1 0 0
"81" 1 1 0
"82" 1 1 0
"83" 1 1 0
"84" 1 1 0
"85" 1 1 0
"86" 1 0 0
"87" 1 0 0
"88" 1 0 0
"89" 1 0 0
"90" 1 0 0
"91" 1 1 0
"92" 1 1 0
"93" 1 1 0
"94" 1 1 0
"95" 1 1 0
"96" 1 0 0
"97" 1 0 0
"98" 1 0 0
"99" 1 0 0
"100" 1 0 0
"101" 1 0 0
"102" 1 0 0
"103" 1 0 0
"104" 1 0 0
"105" 1 0 0
"106" 1 1 1
"107" 1 1 1
"108" 1 1 1
"109" 1 1 1
"110" 1 1 1
"111" 1 1 0
"112" 1 1 0
"113" 1 1 0
"114" 1 1 0
"115" 1 1 0
"116" 1 0 0
"117" 1 0 0
"118" 1 0 0
"119" 1 0 0
"120" 1 0 0
"121" 1 0 0
"122" 1 0 0
"123" 1 0 0
"124" 1 0 0
"125" 1 0 0
"126" 1 0 0
"127" 1 0 0
"128" 1 0 0
"129" 1 0 0
"130" 1 0 0
"131" 1 0 0
"132" 1 0 0
"133" 1 0 0
"134" 1 0 0
"135" 1 0 0
"136" 1 1 0
"137" 1 1 0
"138" 1 1 0
"139" 1 1 0
"140" 1 1 0
"141" 1 0 0
"142" 1 0 0
"143" 1 0 0
"144" 1 0 0
"145" 1 0 0
"146" 1 0 0
"147" 1 0 0
"148" 1 0 0
"149" 1 0 0
"150" 1 0 0
"151" 1 0 0
"152" 1 0 0
"153" 1 0 0
"154" 1 0 0
"155" 1 0 0
"156" 1 0 0
"157" 1 0 0
"158" 1 0 0
"159" 1 0 0
"160" 1 0 0
"161" 1 0 0
"162" 1 0 0
"163" 1 0 0
"164" 1 0 0
"165" 1 0 0
"166" 1 0 0
"167" 1 0 0
"168" 1 0 0
"169" 1 0 0
"170" 1 0 0
"171" 1 1 0
"172" 1 1 0
"173" 1 1 0
"174" 1 1 0
"175" 1 1 0
"176" 1 0 0
"177" 1 0 0
"178" 1 0 0
"179" 1 0 0
"180" 1 0 0
"181" 1 1 0
"182" 1 1 0
"183" 1 1 0
"184" 1 1 0
"185" 1 1 0
"186" 1 0 1
"187" 1 0 1
"188" 1 0 1
"189" 1 0 1
"190" 1 0 1
"191" 1 0 0
"192" 1 0 0
"193" 1 0 0
"194" 1 0 0
"195" 1 0 0
"196" 1 0 0
"197" 1 0 0
"198" 1 0 0
"199" 1 0 0
"200" 1 0 0
"201" 1 1 0
"202" 1 1 0
"203" 1 1 0
"204" 1 1 0
"205" 1 1 0
"206" 1 1 0
"207" 1 1 0
