"domain_out" "x1_o_aug" "x2_o_aug"
"1" 1 0 0
"2" 1 0 0
"3" 1 0 0
"4" 1 0 0
"5" 1 0 0
"6" 1 0 0
"7" 1 0 0
"8" 1 0 0
"9" 1 0 0
"10" 1 0 0
"11" 1 0 0
"12" 1 0 0
"13" 1 0 0
"14" 1 0 0
"15" 1 0 0
"16" 1 0 0
"17" 1 0 0
"18" 1 0 0
"19" 1 0 0
"20" 1 0 0
"21" 1 0 0
"22" 1 0 0
"23" 1 0 0
"24" 1 0 0
"25" 1 1 0
"26" 1 1 0
"27" 1 1 0
"28" 1 1 0
"29" 1 0 0
"30" 1 0 0
"31" 1 0 0
"32" 1 0 0
"33" 1 1 0
"34" 1 1 0
"35" 1 1 0
"36" 1 1 0
"37" 1 1 0
"38" 1 1 0
"39" 1 1 0
"40" 1 1 0
"41" 1 0 0
"42" 1 0 0
"43" 1 0 0
"44" 1 0 0
"45" 1 0 0
"46" 1 0 0
"47" 1 0 0
"48" 1 0 0
"49" 1 0 0
"50" 1 0 0
"51" 1 0 0
"52" 1 0 0
"53" 1 1 0
"54" 1 1 0
"55" 1 1 0
"56" 1 1 0
"57" 1 1 0
"58" 1 1 0
"59" 1 1 0
"60" 1 1 0
"61" 1 1 0
"62" 1 1 0
"63" 1 1 0
"64" 1 1 0
"65" 1 1 0
"66" 1 1 0
"67" 1 1 0
"68" 1 1 0
"69" 1 1 0
"70" 1 1 0
"71" 1 1 0
"72" 1 1 0
"73" 1 0 0
"74" 1 0 0
"75" 1 0 0
"76" 1 0 0
"77" 1 0 0
"78" 1 0 0
"79" 1 0 0
"80" 1 0 0
"81" 1 1 0
"82" 1 1 0
"83" 1 1 0
"84" 1 1 0
"85" 1 1 0
"86" 1 1 0
"87" 1 1 0
"88" 1 1 0
"89" 1 0 0
"90" 1 0 0
"91" 1 0 0
"92" 1 0 0
"93" 1 0 0
"94" 1 0 0
"95" 1 0 0
"96" 1 0 0
"97" 1 0 0
"98" 1 0 0
"99" 1 0 0
"100" 1 0 0
"101" 1 1 0
"102" 1 1 0
"103" 1 1 0
"104" 1 1 0
"105" 1 1 0
"106" 1 1 0
"107" 1 1 0
"108" 1 1 0
"109" 1 0 0
"110" 1 0 0
"111" 1 0 0
"112" 1 0 0
"113" 1 1 0
"114" 1 1 0
"115" 1 1 0
"116" 1 1 0
"117" 1 0 0
"118" 1 0 0
"119" 1 0 0
"120" 1 0 0
"121" 1 1 0
"122" 1 1 0
"123" 1 1 0
"124" 1 1 0
"125" 1 0 0
"126" 1 0 0
"127" 1 0 0
"128" 1 0 0
"129" 1 1 0
"130" 1 1 0
"131" 1 1 0
"132" 1 1 0
"133" 1 0 0
"134" 1 0 0
"135" 1 0 0
"136" 1 0 0
"137" 1 0 0
"138" 1 0 0
"139" 1 0 0
"140" 1 0 0
"141" 1 1 0
"142" 1 1 0
"143" 1 1 0
"144" 1 1 0
"145" 1 0 0
"146" 1 0 0
"147" 1 0 0
"148" 1 0 0
"149" 1 0 0
"150" 1 0 0
"151" 1 0 0
"152" 1 0 0
"153" 1 0 0
"154" 1 0 0
"155" 1 0 0
"156" 1 0 0
"157" 1 1 0
"158" 1 1 0
"159" 1 1 0
"160" 1 1 0
"161" 1 1 0
"162" 1 1 0
"163" 1 1 0
"164" 1 1 0
"165" 1 0 0
"166" 1 0 0
"167" 1 0 0
"168" 1 0 0
"169" 1 0 0
"170" 1 0 0
"171" 1 0 0
"172" 1 0 0
"173" 1 0 0
"174" 1 0 0
"175" 1 0 0
"176" 1 0 0
"177" 1 1 0
"178" 1 1 0
"179" 1 1 0
"180" 1 1 0
"181" 1 1 0
"182" 1 1 0
"183" 1 1 0
"184" 1 1 0
"185" 1 1 0
"186" 1 1 0
"187" 1 1 0
"188" 1 1 0
"189" 1 0 0
"190" 1 0 0
"191" 1 0 0
"192" 1 0 0
"193" 1 0 0
"194" 1 0 0
"195" 1 0 0
"196" 1 0 0
"197" 1 0 0
"198" 1 0 0
"199" 1 0 0
"200" 1 0 0
"201" 2 1 0
"202" 2 1 0
"203" 2 1 0
"204" 2 1 0
"205" 2 0 0
"206" 2 0 0
"207" 2 0 0
"208" 2 0 0
"209" 2 1 0
"210" 2 1 0
"211" 2 1 0
"212" 2 1 0
"213" 2 1 0
"214" 2 1 0
"215" 2 1 0
"216" 2 1 0
"217" 2 0 0
"218" 2 0 0
"219" 2 0 0
"220" 2 0 0
"221" 2 1 0
"222" 2 1 0
"223" 2 1 0
"224" 2 1 0
"225" 2 0 0
"226" 2 0 0
"227" 2 0 0
"228" 2 0 0
"229" 2 0 0
"230" 2 0 0
"231" 2 0 0
"232" 2 0 0
"233" 2 1 0
"234" 2 1 0
"235" 2 1 0
"236" 2 1 0
"237" 2 0 0
"238" 2 0 0
"239" 2 0 0
"240" 2 0 0
"241" 2 0 0
"242" 2 0 0
"243" 2 0 0
"244" 2 0 0
"245" 2 1 0
"246" 2 1 0
"247" 2 1 0
"248" 2 1 0
"249" 2 0 0
"250" 2 0 0
"251" 2 0 0
"252" 2 0 0
"253" 2 0 0
"254" 2 0 0
"255" 2 0 0
"256" 2 0 0
"257" 2 0 0
"258" 2 0 0
"259" 2 0 0
"260" 2 0 0
"261" 2 0 0
"262" 2 0 0
"263" 2 0 0
"264" 2 0 0
"265" 2 0 0
"266" 2 0 0
"267" 2 0 0
"268" 2 0 0
"269" 2 0 0
"270" 2 0 0
"271" 2 0 0
"272" 2 0 0
"273" 2 0 0
"274" 2 0 0
"275" 2 0 0
"276" 2 0 0
"277" 2 0 0
"278" 2 0 0
"279" 2 0 0
"280" 2 0 0
"281" 2 0 0
"282" 2 0 0
"283" 2 0 0
"284" 2 0 0
"285" 2 0 0
"286" 2 0 0
"287" 2 0 0
"288" 2 0 0
"289" 2 0 0
"290" 2 0 0
"291" 2 0 0
"292" 2 0 0
"293" 2 0 0
"294" 2 0 0
"295" 2 0 0
"296" 2 0 0
"297" 2 1 0
"298" 2 1 0
"299" 2 1 0
"300" 2 1 0
"301" 2 0 0
"302" 2 0 0
"303" 2 0 0
"304" 2 0 0
"305" 2 0 0
"306" 2 0 0
"307" 2 0 0
"308" 2 0 0
"309" 2 0 0
"310" 2 0 0
"311" 2 0 0
"312" 2 0 0
"313" 2 0 0
"314" 2 0 0
"315" 2 0 0
"316" 2 0 0
"317" 2 0 0
"318" 2 0 0
"319" 2 0 0
"320" 2 0 0
"321" 2 0 0
"322" 2 0 0
"323" 2 0 0
"324" 2 0 0
"325" 2 0 0
"326" 2 0 0
"327" 2 0 0
"328" 2 0 0
"329" 2 0 0
"330" 2 0 0
"331" 2 0 0
"332" 2 0 0
"333" 2 0 0
"334" 2 0 0
"335" 2 0 0
"336" 2 0 0
"337" 2 0 0
"338" 2 0 0
"339" 2 0 0
"340" 2 0 0
"341" 2 0 0
"342" 2 0 0
"343" 2 0 0
"344" 2 0 0
"345" 2 0 0
"346" 2 0 0
"347" 2 0 0
"348" 2 0 0
"349" 2 0 0
"350" 2 0 0
"351" 2 0 0
"352" 2 0 0
"353" 2 1 0
"354" 2 1 0
"355" 2 1 0
"356" 2 1 0
"357" 2 0 0
"358" 2 0 0
"359" 2 0 0
"360" 2 0 0
"361" 2 1 0
"362" 2 1 0
"363" 2 1 0
"364" 2 1 0
"365" 2 1 0
"366" 2 1 0
"367" 2 1 0
"368" 2 1 0
"369" 2 1 0
"370" 2 1 0
"371" 2 1 0
"372" 2 1 0
"373" 2 1 0
"374" 2 1 0
"375" 2 1 0
"376" 2 1 0
"377" 2 1 0
"378" 2 1 0
"379" 2 1 0
"380" 2 1 0
"381" 2 0 0
"382" 2 0 0
"383" 2 0 0
"384" 2 0 0
"385" 2 1 0
"386" 2 1 0
"387" 2 1 0
"388" 2 1 0
"389" 2 0 0
"390" 2 0 0
"391" 2 0 0
"392" 2 0 0
"393" 2 0 0
"394" 2 0 0
"395" 2 0 0
"396" 2 0 0
"397" 2 0 0
"398" 2 0 0
"399" 2 0 0
"400" 2 0 0
"401" 3 0 0
"402" 3 0 0
"403" 3 0 0
"404" 3 0 0
"405" 3 1 0
"406" 3 1 0
"407" 3 1 0
"408" 3 1 0
"409" 3 0 0
"410" 3 0 0
"411" 3 0 0
"412" 3 0 0
"413" 3 1 0
"414" 3 1 0
"415" 3 1 0
"416" 3 1 0
"417" 3 1 0
"418" 3 1 0
"419" 3 1 0
"420" 3 1 0
"421" 3 0 0
"422" 3 0 0
"423" 3 0 0
"424" 3 0 0
"425" 3 1 0
"426" 3 1 0
"427" 3 1 0
"428" 3 1 0
"429" 3 0 0
"430" 3 0 0
"431" 3 0 0
"432" 3 0 0
"433" 3 0 0
"434" 3 0 0
"435" 3 0 0
"436" 3 0 0
"437" 3 0 0
"438" 3 0 0
"439" 3 0 0
"440" 3 0 0
"441" 3 1 0
"442" 3 1 0
"443" 3 1 0
"444" 3 1 0
"445" 3 0 0
"446" 3 0 0
"447" 3 0 0
"448" 3 0 0
"449" 3 0 0
"450" 3 0 0
"451" 3 0 0
"452" 3 0 0
"453" 3 0 0
"454" 3 0 0
"455" 3 0 0
"456" 3 0 0
"457" 3 0 0
"458" 3 0 0
"459" 3 0 0
"460" 3 0 0
"461" 3 0 0
"462" 3 0 0
"463" 3 0 0
"464" 3 0 0
"465" 3 0 0
"466" 3 0 0
"467" 3 0 0
"468" 3 0 0
"469" 3 1 0
"470" 3 1 0
"471" 3 1 0
"472" 3 1 0
"473" 3 1 0
"474" 3 1 0
"475" 3 1 0
"476" 3 1 0
"477" 3 0 0
"478" 3 0 0
"479" 3 0 0
"480" 3 0 0
"481" 3 0 0
"482" 3 0 0
"483" 3 0 0
"484" 3 0 0
"485" 3 0 0
"486" 3 0 0
"487" 3 0 0
"488" 3 0 0
"489" 3 0 0
"490" 3 0 0
"491" 3 0 0
"492" 3 0 0
"493" 3 0 0
"494" 3 0 0
"495" 3 0 0
"496" 3 0 0
"497" 3 1 0
"498" 3 1 0
"499" 3 1 0
"500" 3 1 0
"501" 3 0 0
"502" 3 0 0
"503" 3 0 0
"504" 3 0 0
"505" 3 1 0
"506" 3 1 0
"507" 3 1 0
"508" 3 1 0
"509" 3 0 0
"510" 3 0 0
"511" 3 0 0
"512" 3 0 0
"513" 3 0 0
"514" 3 0 0
"515" 3 0 0
"516" 3 0 0
"517" 3 0 0
"518" 3 0 0
"519" 3 0 0
"520" 3 0 0
"521" 3 0 0
"522" 3 0 0
"523" 3 0 0
"524" 3 0 0
"525" 3 0 0
"526" 3 0 0
"527" 3 0 0
"528" 3 0 0
"529" 3 0 0
"530" 3 0 0
"531" 3 0 0
"532" 3 0 0
"533" 3 0 0
"534" 3 0 0
"535" 3 0 0
"536" 3 0 0
"537" 3 0 0
"538" 3 0 0
"539" 3 0 0
"540" 3 0 0
"541" 3 1 0
"542" 3 1 0
"543" 3 1 0
"544" 3 1 0
"545" 3 0 0
"546" 3 0 0
"547" 3 0 0
"548" 3 0 0
"549" 3 1 0
"550" 3 1 0
"551" 3 1 0
"552" 3 1 0
"553" 3 0 0
"554" 3 0 0
"555" 3 0 0
"556" 3 0 0
"557" 3 0 0
"558" 3 0 0
"559" 3 0 0
"560" 3 0 0
"561" 3 0 0
"562" 3 0 0
"563" 3 0 0
"564" 3 0 0
"565" 3 1 0
"566" 3 1 0
"567" 3 1 0
"568" 3 1 0
"569" 3 0 0
"570" 3 0 0
"571" 3 0 0
"572" 3 0 0
"573" 3 0 0
"574" 3 0 0
"575" 3 0 0
"576" 3 0 0
"577" 3 0 0
"578" 3 0 0
"579" 3 0 0
"580" 3 0 0
"581" 3 0 0
"582" 3 0 0
"583" 3 0 0
"584" 3 0 0
"585" 3 1 0
"586" 3 1 0
"587" 3 1 0
"588" 3 1 0
"589" 3 1 0
"590" 3 1 0
"591" 3 1 0
"592" 3 1 0
"593" 3 0 0
"594" 3 0 0
"595" 3 0 0
"596" 3 0 0
"597" 3 1 0
"598" 3 1 0
"599" 3 1 0
"600" 3 1 0
"601" 4 1 0
"602" 4 1 0
"603" 4 1 0
"604" 4 1 0
"605" 4 1 0
"606" 4 1 0
"607" 4 1 0
"608" 4 1 0
"609" 4 0 0
"610" 4 0 0
"611" 4 0 0
"612" 4 0 0
"613" 4 1 0
"614" 4 1 0
"615" 4 1 0
"616" 4 1 0
"617" 4 1 0
"618" 4 1 0
"619" 4 1 0
"620" 4 1 0
"621" 4 0 0
"622" 4 0 0
"623" 4 0 0
"624" 4 0 0
"625" 4 0 0
"626" 4 0 0
"627" 4 0 0
"628" 4 0 0
"629" 4 0 0
"630" 4 0 0
"631" 4 0 0
"632" 4 0 0
"633" 4 0 0
"634" 4 0 0
"635" 4 0 0
"636" 4 0 0
"637" 4 0 0
"638" 4 0 0
"639" 4 0 0
"640" 4 0 0
"641" 4 0 0
"642" 4 0 0
"643" 4 0 0
"644" 4 0 0
"645" 4 0 0
"646" 4 0 0
"647" 4 0 0
"648" 4 0 0
"649" 4 0 0
"650" 4 0 0
"651" 4 0 0
"652" 4 0 0
"653" 4 0 0
"654" 4 0 0
"655" 4 0 0
"656" 4 0 0
"657" 4 0 0
"658" 4 0 0
"659" 4 0 0
"660" 4 0 0
"661" 4 0 0
"662" 4 0 0
"663" 4 0 0
"664" 4 0 0
"665" 4 0 0
"666" 4 0 0
"667" 4 0 0
"668" 4 0 0
"669" 4 0 0
"670" 4 0 0
"671" 4 0 0
"672" 4 0 0
"673" 4 1 0
"674" 4 1 0
"675" 4 1 0
"676" 4 1 0
"677" 4 0 0
"678" 4 0 0
"679" 4 0 0
"680" 4 0 0
"681" 4 1 0
"682" 4 1 0
"683" 4 1 0
"684" 4 1 0
"685" 4 0 0
"686" 4 0 0
"687" 4 0 0
"688" 4 0 0
"689" 4 0 0
"690" 4 0 0
"691" 4 0 0
"692" 4 0 0
