"x1" "x2"
"1" 0 0
"2" 1 1
"3" 1 0
"4" 0 0
"5" 0 1
"6" 1 0
"7" 1 0
"8" 1 0
"9" 0 1
"10" 1 0
"11" 0 0
"12" 0 0
"13" 1 0
"14" 0 0
"15" 0 0
"16" 1 0
"17" 0 0
"18" 0 0
"19" 0 0
"20" 0 0
"21" 0 0
"22" 1 0
"23" 0 0
"24" 0 1
"25" 0 1
"26" 0 0
"27" 1 0
"28" 1 1
"29" 0 0
"30" 1 0
"31" 0 0
"32" 0 0
"33" 0 0
"34" 0 0
"35" 1 0
"36" 1 0
"37" 1 0
"38" 1 1
"39" 0 0
"40" 0 1
"41" 0 1
"42" 0 0
"43" 0 0
"44" 0 1
"45" 0 0
"46" 0 1
"47" 0 0
"48" 0 0
"49" 0 0
"50" 1 0
"51" 1 1
"52" 0 0
"53" 0 1
"54" 0 0
"55" 1 1
"56" 0 0
"57" 0 0
"58" 1 0
"59" 1 0
"60" 0 0
"61" 0 0
"62" 1 0
"63" 0 1
"64" 0 1
"65" 1 0
"66" 1 0
"67" 0 0
"68" 0 0
"69" 1 1
"70" 1 0
"71" 0 1
"72" 0 0
"73" 0 0
"74" 0 0
"75" 1 1
"76" 0 0
"77" 1 0
"78" 0 1
"79" 1 0
"80" 1 0
"81" 0 0
"82" 0 1
"83" 1 0
"84" 0 0
"85" 0 0
"86" 1 0
"87" 0 0
"88" 0 0
"89" 0 0
"90" 0 0
"91" 0 0
"92" 0 1
"93" 1 0
"94" 0 0
"95" 1 0
"96" 1 0
"97" 0 1
"98" 1 0
"99" 1 0
"100" 1 0
"101" 0 0
"102" 0 1
"103" 0 1
"104" 0 0
"105" 0 0
"106" 0 1
"107" 1 1
"108" 1 0
"109" 1 0
"110" 0 0
"111" 0 0
"112" 1 1
"113" 1 0
"114" 1 1
"115" 1 1
"116" 1 0
"117" 1 0
"118" 0 0
"119" 0 0
"120" 0 0
"121" 0 0
"122" 0 0
"123" 1 0
"124" 1 0
"125" 0 0
"126" 0 0
"127" 0 0
"128" 1 1
"129" 0 1
"130" 0 0
"131" 0 0
"132" 1 1
"133" 0 0
"134" 1 0
"135" 0 0
"136" 0 1
"137" 0 0
"138" 0 0
"139" 1 0
"140" 0 0
"141" 0 0
"142" 0 0
"143" 0 1
"144" 1 1
"145" 1 0
"146" 0 0
"147" 0 0
"148" 0 0
"149" 1 0
"150" 0 0
"151" 0 0
"152" 0 0
"153" 0 1
"154" 0 0
"155" 0 0
"156" 1 0
"157" 1 1
"158" 0 0
"159" 0 0
"160" 0 0
"161" 0 1
"162" 1 0
"163" 0 0
"164" 0 0
"165" 0 0
"166" 0 0
"167" 1 0
"168" 1 1
"169" 0 0
"170" 0 0
"171" 0 0
"172" 1 0
"173" 1 0
"174" 0 0
"175" 0 1
"176" 0 0
"177" 0 1
"178" 0 0
"179" 0 0
"180" 0 0
"181" 0 0
"182" 0 0
"183" 0 0
"184" 0 0
"185" 0 0
"186" 0 0
"187" 0 0
"188" 0 0
"189" 1 0
"190" 1 0
"191" 0 0
"192" 0 1
"193" 0 1
"194" 0 0
"195" 1 0
"196" 0 1
"197" 0 1
"198" 0 0
"199" 1 0
"200" 0 0
"201" 0 0
"202" 0 0
"203" 0 0
"204" 0 0
"205" 0 1
"206" 0 0
"207" 0 0
"208" 0 0
"209" 1 0
"210" 0 0
"211" 1 0
"212" 0 1
"213" 0 0
"214" 0 0
"215" 0 0
"216" 1 0
"217" 1 0
"218" 0 0
"219" 1 0
"220" 0 0
"221" 1 0
"222" 0 0
"223" 1 0
"224" 0 0
"225" 1 1
"226" 0 0
"227" 1 0
"228" 0 0
"229" 0 1
"230" 0 0
"231" 0 0
"232" 1 0
"233" 0 0
"234" 1 0
"235" 0 0
"236" 0 0
"237" 0 1
"238" 0 1
"239" 0 0
"240" 0 0
"241" 0 0
"242" 1 0
"243" 1 0
"244" 0 0
"245" 1 0
"246" 1 0
"247" 0 0
"248" 0 0
"249" 0 0
"250" 0 0
"251" 0 0
"252" 0 0
"253" 0 0
"254" 0 0
"255" 0 0
"256" 0 0
"257" 0 0
"258" 0 0
"259" 0 0
"260" 1 0
"261" 1 0
"262" 0 0
"263" 1 0
"264" 0 0
"265" 0 0
"266" 0 0
"267" 0 0
"268" 1 0
"269" 1 0
"270" 0 0
"271" 0 0
"272" 0 0
"273" 0 0
"274" 0 1
"275" 0 1
"276" 0 0
"277" 1 0
"278" 1 0
"279" 0 0
"280" 1 1
"281" 1 0
"282" 0 0
"283" 0 0
"284" 1 0
"285" 0 0
"286" 0 0
"287" 0 0
"288" 0 0
"289" 0 1
"290" 0 0
"291" 0 0
"292" 0 1
"293" 1 0
"294" 1 0
"295" 1 0
"296" 0 0
"297" 0 0
"298" 0 1
"299" 0 1
"300" 1 0
"301" 0 1
"302" 0 1
"303" 0 1
"304" 1 0
"305" 0 0
"306" 0 1
"307" 0 0
"308" 0 0
"309" 0 0
"310" 0 1
"311" 1 0
"312" 0 1
"313" 0 0
"314" 0 0
"315" 1 0
"316" 0 0
"317" 0 0
"318" 0 1
"319" 1 0
"320" 0 0
"321" 1 0
"322" 1 0
"323" 0 1
"324" 1 0
"325" 0 0
"326" 1 0
"327" 1 0
"328" 1 0
"329" 0 0
"330" 0 0
"331" 1 0
"332" 1 0
"333" 1 0
"334" 1 0
"335" 1 0
"336" 0 0
"337" 0 0
"338" 1 0
"339" 0 0
"340" 0 0
"341" 0 0
"342" 0 0
"343" 0 0
"344" 0 0
"345" 0 0
"346" 0 0
"347" 0 0
"348" 0 0
"349" 0 0
"350" 1 0
"351" 0 0
"352" 0 1
"353" 0 0
"354" 0 0
"355" 1 1
"356" 1 0
"357" 0 0
"358" 1 0
"359" 0 0
"360" 0 0
"361" 0 1
"362" 0 1
"363" 1 0
"364" 0 0
"365" 0 0
"366" 0 0
"367" 0 1
"368" 0 0
"369" 0 0
"370" 1 1
"371" 0 0
"372" 0 0
"373" 0 0
"374" 0 0
"375" 0 1
"376" 0 0
"377" 1 1
"378" 0 0
"379" 0 0
"380" 0 0
"381" 0 0
"382" 1 0
"383" 0 1
"384" 0 0
"385" 0 1
"386" 0 0
"387" 1 0
"388" 0 0
"389" 0 0
"390" 1 1
"391" 0 0
"392" 0 0
"393" 0 0
"394" 1 0
"395" 0 1
"396" 0 0
"397" 0 0
"398" 0 1
"399" 0 0
"400" 1 0
"401" 1 0
"402" 0 0
"403" 0 0
"404" 1 0
"405" 1 1
"406" 1 0
"407" 0 0
"408" 1 1
"409" 1 0
"410" 1 1
"411" 0 0
"412" 0 1
"413" 0 0
"414" 0 0
"415" 0 0
"416" 0 0
"417" 1 0
"418" 0 1
"419" 1 0
"420" 1 0
"421" 0 0
"422" 0 0
"423" 0 0
"424" 1 0
"425" 0 0
"426" 0 0
"427" 0 0
"428" 0 0
"429" 0 0
"430" 0 0
"431" 0 1
"432" 0 0
"433" 1 0
"434" 1 0
"435" 0 0
"436" 1 0
"437" 0 0
"438" 1 0
"439" 0 0
"440" 0 1
"441" 0 0
"442" 1 0
"443" 0 0
"444" 1 0
"445" 0 1
"446" 0 0
"447" 0 1
"448" 0 0
"449" 1 0
"450" 1 0
"451" 0 0
"452" 0 0
"453" 0 0
"454" 1 0
"455" 0 0
"456" 1 0
"457" 0 0
"458" 0 0
"459" 1 0
"460" 0 0
"461" 0 0
"462" 1 1
"463" 1 0
"464" 0 0
"465" 0 0
"466" 0 0
"467" 0 0
"468" 1 0
"469" 0 0
"470" 0 0
"471" 0 1
"472" 0 1
"473" 1 0
"474" 1 0
"475" 0 0
"476" 0 0
"477" 0 1
"478" 1 0
"479" 1 0
"480" 0 0
"481" 0 1
"482" 1 0
"483" 0 0
"484" 0 1
"485" 0 0
"486" 0 0
"487" 0 0
"488" 0 0
"489" 0 0
"490" 0 1
"491" 1 0
"492" 1 0
"493" 1 0
"494" 0 0
"495" 0 0
"496" 0 0
"497" 0 0
"498" 0 0
"499" 0 0
"500" 0 1
"501" 0 0
"502" 0 0
"503" 1 0
"504" 1 1
"505" 1 0
"506" 1 0
"507" 0 0
"508" 1 0
"509" 0 0
